Meas_number,date_time,time_datum,measurment_used,who,measuring_agency,stream_flow_cfs,stream_flow_cms,gage_height_ft,gage_height_m,gh_change_ft,meas_duration_hr,meas_rating,control,flow_adjust_code,channel_number,channel_name,meas_type,stream_flow_method,velocity_method,channel_flow_cfs,channel_flow_m3s,channel_width_ft,channel_width_m,channel_area_sqft,channel_area_m2,channel_vel_fts,channel_velocity_ms,channel_stability,channel_material,channel_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,channel_loc_code,channel_loc_dist_ft
586,10/3/2022 10:34,CDT,Yes,MJT,USGS,98.4,2.78637312,0.77,0.234684547,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,98.4,2.786351409,91,27.73544651,124,11.51988109,0.8,0.243828101,FIRM,GRVL,UNEV,STDY,EVEN,NSTD,DNST,700
585,8/15/2022 17:12,CDT,Yes,CR,Unspe,148,4.1908864,1.03,0.31392868,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,148,4.190853745,135,41.14599208,228,21.18171683,0.65,0.198110332,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,400
584,4/4/2022 9:37,CDT,Yes,MT,USGS,2720,77.021696,5.08,1.548308443,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,2720,77.02109585,200,60.9570253,940,87.32813081,2.89,0.880829016,UNSP,UNSP,UNSP,PULS,UNEV,NSTD,DNST,500
583,1/31/2022 11:41,CST,Yes,MJT,USGS,426,12.0629568,1.93,0.588235294,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,426,12.06286281,122,37.18378543,316,29.35711631,1.35,0.411459921,FIRM,CBLS,UNEV,UNSP,UNEV,NSTD,DNST,1500
582,12/6/2021 9:55,CST,Yes,MJT,USGS,219,6.2013792,1.29,0.393172813,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,219,6.201330879,108,32.91679366,185,17.18691936,1.18,0.359646449,FIRM,GRVL,UNEV,UNSP,UNEV,NSTD,DNST,700
581,10/4/2021 9:27,CDT,Yes,MJT,USGS,156,4.4174208,1.07,0.326120085,,,Poor,VegetationModerate,NONE,1,main,BRDS,QADCP,VADCP,156,4.41738638,99,30.17372752,149,13.84243776,1.05,0.320024383,FIRM,GRVL,UNEV,UNSP,UNEV,STND,DNST,1000
580,8/2/2021 9:59,CDT,Yes,MJT,USGS,292,8.2685056,1.58,0.4815605,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,292,8.268441172,117,35.6598598,270,25.08361204,1.08,0.329167937,UNSP,GRVL,UNEV,STDY,EVEN,NSTD,DNST,1000
579,6/7/2021 9:39,CDT,Yes,MJT,USGS,1700,48.13856,3.95,1.20390125,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,1700,48.13818491,135,41.14599208,606,56.29877369,2.81,0.856446205,UNSP,GRVL,UNEV,UNSP,UNEV,STND,DNST,1000
578,4/1/2021 11:29,CDT,Yes,MJT,Unspe,1810,51.253408,4.12,1.255714721,,,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,1810,51.25300864,125,38.09814081,584,54.25492382,3.09,0.941786041,UNSP,UNSP,UNEV,PULS,UNEV,STND,DNST,1000
577,3/15/2021 13:10,CDT,Yes,"MT,RA",Unspe,11600,328.47488,11.88,3.620847303,,,Poor,,NONE,1,main,BRDS,QADCP,VADCP,11600,328.4723205,324,98.75038098,2640,245.2619844,4.38,1.334958854,UNSP,UNSP,UNSP,UNSP,UNEV,UNSP,DNST,1000
576,3/13/2021 15:17,CST,Yes,BB/TH,USGS,21500,608.8112,17.05,5.196586407,,,Good,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,21500,608.8064562,422,128.6193234,4850,450.5759941,4.43,1.35019811,FIRM,GRVL,EVEN,PULS,UNEV,STND,DNST,400
575,2/1/2021 10:17,CST,Yes,MJT,USGS,6290,178.112672,8.29,2.526668699,,,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,6290,178.1112842,210,64.00487656,1640,152.3597176,3.84,1.170374886,UNSP,UNSP,UNEV,PULS,UNEV,STND,DNST,500
574,11/30/2020 8:48,CST,Yes,MJT,USGS,1040,29.449472,3.16,0.963121,,,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,1040,29.44924253,124,37.79335568,461,42.827945,2.26,0.688814386,UNSP,UNSP,UNEV,STDY,UNEV,STND,DNST,800
573,10/19/2020 8:41,CDT,Yes,MJT,USGS,102,2.8883136,0.97,0.295641573,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,102,2.888291094,109,33.22157879,171,15.88628763,0.6,0.182871076,UNSP,GRVL,UNEV,STDY,EVEN,NSTD,DNST,800
572,7/29/2020 14:01,CDT,Yes,MJT,USGS,248,7.0225664,1.51,0.460225541,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,248,7.022511681,128,39.01249619,254,23.59717577,0.97,0.295641573,UNSP,GRVL,UNEV,UNSP,UNSP,STND,DNST,400
571,5/18/2020 12:11,CDT,Yes,MJT,USGS,20900,591.82112,16.91,5.153916489,,,Poor,Unspecifed,NONE,2,Main channel,BRDS,QADCP,VADCP,20400,577.6582189,352,107.2843645,4180,388.3314753,4.87,1.484303566,UNSP,UNSP,UNEV,PULS,UNEV,NSTD,ATGA,0
571,5/18/2020 12:11,CDT,Yes,MJT,USGS,20900,591.82112,16.91,5.153916489,,,Poor,Unspecifed,NONE,1,Right channel,BRDS,QADCP,VADCP,491,13.90344046,107,32.61200853,749,69.58379784,0.66,0.201158183,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
570,5/18/2020 11:34,CDT,Yes,MJT,USGS,19500,552.1776,16.81,5.123437976,,,Poor,Unspecifed,NONE,1,Main channel,BRDS,QADCP,VADCP,19500,552.1732975,467,142.3346541,4820,447.788926,4.03,1.22828406,UNSP,UNSP,UNEV,PULS,UNEV,NSTD,DNST,400
569,3/20/2020 10:13,CDT,Yes,BB,USGS,28700,812.69216,18.78,5.723864675,,,Poor,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,28700,812.6858276,498,151.782993,5860,544.4072835,4.89,1.490399269,FIRM,GRVL,EVEN,PULS,UNEV,STND,DNST,250
568,2/3/2020 13:22,CST,Yes,ESS,USGS,1480,41.908864,3.59,1.094178604,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1480,41.90853745,115,35.05028955,427,39.66926793,3.46,1.054556538,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
567,12/10/2019 9:49,CST,Yes,BCR,USGS,799,22.6251232,2.81,0.856446205,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,799,22.62494691,121,36.8790003,388,36.04607952,2.06,0.627857361,FIRM,CBLS,EVEN,STDY,EVEN,STND,DNST,310
566,10/7/2019 14:19,CDT,Yes,CR,USGS,147,4.1625696,1.17,0.356598598,,,Good,Clear,NONE,1,Main,WADE,QADCP,VADCP,147,4.162537166,89.2,27.18683328,205,19.0449647,0.71,0.21639744,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,100
565,8/8/2019 10:13,CDT,Yes,rmf,USGS,322,9.1180096,1.73,0.527278269,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,322,9.117938553,107,32.61200853,229,21.2746191,1.41,0.429747028,FIRM,GRVL,EVEN,STDY,EVEN,STND,DNST,100
564,6/10/2019 10:01,CDT,Yes,BCR,USGS,1330,37.661344,3.75,1.142944224,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,1330,37.66105055,161,49.07040536,684,63.5451505,1.95,0.594330997,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
563,5/2/2019 13:20,CDT,Yes,BCR/WD,USGS,41500,1175.1472,24.18,7.369704358,,,Fair,DebrisLight,NONE,2,relief,BRDS,QADCP,VADCP,3100,87.78139601,105,32.00243828,751,69.76960238,4.13,1.258762572,FIRM,GRVL,EVEN,PULS,EVEN,STND,ATGA,0
563,5/2/2019 13:20,CDT,Yes,BCR/WD,USGS,41500,1175.1472,24.18,7.369704358,,,Fair,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,38400,1087.356647,477,145.3825053,8040,746.9342252,4.78,1.456872905,FIRM,GRVL,EVEN,PULS,EVEN,STND,ATGA,0
562,3/29/2019 13:39,CDT,Yes,rmf,USGS,1320,37.378176,3.63,1.106370009,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,1320,37.37788475,187,56.99481865,686,63.73095504,1.92,0.585187443,FIRM,GRVL,EVEN,PULS,UNEV,STND,ATGA,0
561,2/1/2019 13:08,CST,Yes,MT,USGS,829,23.4746272,2.96,0.902163974,,,Poor,FillControlChanged,NONE,2,main,BRDS,QADCP,VADCP,834,23.61602718,125,38.09814081,411,38.18283166,2.03,0.618713807,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
561,2/1/2019 13:08,CST,Yes,MT,USGS,829,23.4746272,2.96,0.902163974,,,Poor,FillControlChanged,NONE,1,left side,OTHR,other,,-5,-0.141582897,,0,,0,,0,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
560,2/1/2019 11:04,CST,Yes,MT,USGS,799,22.6251232,2.97,0.905211826,,,Fair,FillControlChanged,NONE,2,left side,BRDS,QADCP,VADCP,-5.38,-0.152343197,44.6,13.59341664,85.8,7.971014493,-0.06,-0.018287108,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
560,2/1/2019 11:04,CST,Yes,MT,USGS,799,22.6251232,2.97,0.905211826,,,Fair,FillControlChanged,NONE,1,main,BRDS,QADCP,VADCP,805,22.79484638,121,36.8790003,452,41.9918246,1.78,0.542517525,UNSP,GRVL,UNEV,STDY,EVEN,NSTD,ATGA,0
559,12/4/2018 10:33,CST,Yes,BCR,USGS,2130,60.314784,5.63,1.715940262,,,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,2130,60.31431403,122,37.18378543,623,57.87811223,3.41,1.039317281,FIRM,CBLS,EVEN,STDY,EVEN,STND,ATGA,0
558,10/23/2018 11:03,CDT,Yes,BCR,USGS,366,10.3639488,3.17,0.966168851,,,Good,DebrisHeavy,NONE,1,main,BRDS,QADCP,VADCP,366,10.36386804,130,39.62206644,427,39.66926793,0.86,0.262115209,FIRM,CBLS,EVEN,STDY,EVEN,STND,ATGA,0
557,10/18/2018 13:46,CDT,Yes,BCR,USGS,561,15.8857248,4.47,1.362389515,,,Good,DebrisHeavy,NONE,1,main,MBOT,QADCP,VADCP,561,15.88560102,125,38.09814081,432,40.13377926,1.3,0.396220664,FIRM,CBLS,EVEN,STDY,EVEN,STND,UPST,75
556,10/1/2018 15:42,CDT,Yes,CR,USGS,157,4.4457376,1.46,0.444986285,,,Good,FillControlChanged,NONE,1,Main,WADE,QADCP,VADCP,157,4.445702959,62.3,18.98811338,80,7.432181345,1.96,0.597378848,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UPST,100
555,8/9/2018 10:11,CDT,Yes,BCR,USGS,59.4,1.68201792,0.81,0.246875952,,,Poor,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,59.4,1.682004814,106,32.30722341,278,25.82683017,0.21,0.064004877,FIRM,CBLS,EVEN,STDY,EVEN,STND,DNST,300
554,6/14/2018 13:48,CDT,Yes,CR,USGS,208,5.8898944,1.37,0.417555623,,,Fair,Clear,NONE,1,Main,WADE,QADCP,VADCP,208,5.889848506,117,35.6598598,253,23.5042735,0.82,0.249923804,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,DNST,200
553,4/5/2018 17:08,CDT,Yes,RMF,USGS,2160,61.164288,4.73,1.441633648,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,2160,61.16381141,200,60.9570253,972,90.30100334,2.23,0.679670832,FIRM,GRVL,EVEN,PULS,UNEV,NSTD,ATGA,0
552,2/25/2018 11:03,CST,Yes,lb,USGS,35900,1016.57312,22.34,6.808899726,0.3,0.5,Poor,Clear,NONE,2,relief bridge,BRDS,QADCP,VADCP,2280,64.56180093,96.4,29.38128619,559,51.93236715,4.08,1.243523316,FIRM,CBLS,UNEV,PULS,UNEV,NSTD,ATGA,0
552,2/25/2018 11:03,CST,Yes,lb,USGS,35900,1016.57312,22.34,6.808899726,0.3,0.5,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,33600,951.4370664,495,150.8686376,7520,698.6250465,4.47,1.362389515,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
551,1/29/2018 13:31,CST,Yes,BCR,USGS,232,6.5694976,1.43,0.435842731,,,Fair,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,232,6.569446411,116,35.35507467,233,21.64622817,1,0.304785126,FIRM,BLDR,EVEN,STDY,EVEN,STND,DNST,200
550,12/8/2017 14:56,CST,Yes,CR,USGS,98.7,2.79486816,0.95,0.28954587,,,Good,Clear,NONE,1,Main,WADE,QADCP,VADCP,98.7,2.794846383,48.9,14.90399269,63.3,5.880713489,1.56,0.475464797,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UPST,175
549,10/2/2017 10:19,CDT,Yes,rmf,USGS,76.8,2.17473024,0.93,0.283450168,,,Poor,Clear,NONE,1,main,WADE,QADCP,VADCP,76.8,2.174713295,138,42.06034746,247,22.9468599,0.31,0.094483389,FIRM,GRVL,EVEN,STDY,EVEN,STND,DNST,75
548,8/3/2017 9:23,CDT,Yes,BCR/ALK,USGS,109,3.0865312,1.01,0.307832978,,,Good,DebrisLight,NONE,1,main,MBOT,QADCP,VADCP,109,3.08650715,117,35.6598598,201,18.67335563,0.54,0.164583968,FIRM,CBLS,UNEV,STDY,EVEN,UNFM,UPST,200
547,5/30/2017 10:51,CDT,Yes,CR,USGS,2220,62.863296,4.56,1.389820177,,,Fair,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,2220,62.86280617,183,55.77567815,851,79.05982906,2.61,0.79548918,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
546,4/30/2017 19:29,CDT,Yes,rga/cp,USGS,114000,3228.1152,39.62,12.07558671,,,Poor,,NONE,2,Main,BRDS,QADCP,VADCP,81100,2296.474586,622,189.5763487,17600,1635.079896,4.6,1.402011582,FIRM,GRVL,EVEN,PULS,EVEN,UNSP,DNST,1000
546,4/30/2017 19:29,CDT,Yes,rga/cp,USGS,114000,3228.1152,39.62,12.07558671,,,Poor,,NONE,1,overflow-estimate,OTHR,other,,32900,931.6154609,,0,,0,,0,FIRM,LDGE,EVEN,STDY,EVEN,UNSP,DNST,10000
545,4/6/2017 15:43,CDT,Yes,RMF,USGS,6070,171.882976,8.8,2.682109113,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,6070,171.8816367,253,77.110637,1780,165.3660349,3.41,1.039317281,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,0
544,2/8/2017 13:33,CST,Yes,RMF,USGS,358,10.1374144,1.92,0.585187443,,,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,358,10.13733541,155,47.24169461,361,33.53771832,0.99,0.301737275,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
543,12/5/2016 11:17,CST,Yes,lb,USGS,172,4.8704896,1.22,0.371837854,0,1,Fair,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,172,4.870451649,81.2,24.74855227,151,14.02824229,1.14,0.347455044,FIRM,CBLS,UNEV,unkn,UNEV,NSTD,DNST,250
542,10/3/2016 12:45,CDT,Yes,RMF,USGS,251,7.1075168,1.48,0.451081987,,,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,251,7.107461419,94.6,28.83267297,221,20.53140097,1.14,0.347455044,FIRM,GRVL,EVEN,unkn,EVEN,STND,DNST,50
541,8/1/2016 10:17,CDT,Yes,rga,USGS,1470,41.625696,3.57,1.088082902,,,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,1470,41.62537166,170,51.8134715,634,58.90003716,2.32,0.707101493,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
540,6/3/2016 8:59,CDT,Yes,rga,USGS,1790,50.687072,3.92,1.194757696,,,Good,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,1790,50.68667705,163,49.67997562,562,52.21107395,3.18,0.969216702,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
539,3/28/2016 14:05,CDT,Yes,"BB,PC",USGS,656,18.5758208,2.61,0.79548918,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,656,18.57567606,183,55.77567815,532,49.42400595,1.23,0.374885706,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
538,2/1/2016 9:47,CST,Yes,rga,USGS,588,16.6502784,2.31,0.704053642,,,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,588,16.65014866,130,39.62206644,348,32.32998885,1.69,0.515086864,FIRM,SAND,EVEN,unkn,EVEN,UNFM,ATGA,
537,12/29/2015 9:50,CST,Yes,"BB,SS",USGS,74000,2095.4432,31.5,9.600731484,0.03,0.3,Fair,Unspecifed,NONE,1,main,MBOT,QADCP,VADCP,74000,2095.426872,1160,353.5507467,16000,1486.436269,4.64,1.414202987,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,DNST,8200
536,12/4/2015 11:25,CST,Yes,MR,USGS,1920,54.368256,4.19,1.27704968,0.01,0.5,Fair,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,1920,54.36783237,135,41.14599208,667,61.96581197,2.88,0.877781164,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
535,10/5/2015 14:13,CDT,Yes,RMF,USGS,112,3.1714816,1.09,0.332215788,,,Good,Clear,NONE,1,main,WADE,QADCP,VADCP,112,3.171456888,70.5,21.48735142,137,12.72761055,0.82,0.249923804,FIRM,GRVL,EVEN,unkn,EVEN,STND,DNST,100
534,8/3/2015 11:02,CDT,Yes,rga,USGS,525,14.86632,2.18,0.664431576,,,Good,Clear,NONE,1,main,BRDS,QADCP,VADCP,525,14.86620416,109,33.22157879,288,26.75585284,1.83,0.557756781,FIRM,GRVL,EVEN,unkn,UNSP,UNSP,ATGA,
533,6/5/2015 8:51,CDT,Yes,MR,USGS,2740,77.588032,5.53,1.685461749,-0.1,0.5,Poor,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,2740,77.58742744,142,43.27948796,639,59.36454849,4.29,1.307528193,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
532,3/30/2015 15:49,CDT,Yes,lb,USGS,2180,61.730624,4.65,1.417250838,-0.03,0.5,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,2180,61.730143,169,51.50868638,763,70.88442958,2.86,0.871685462,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
531,2/2/2015 12:12,CST,Yes,MR,USGS,310,8.778208,1.7,0.518134715,-0.02,0.5,Fair,Clear,NONE,1,Main,WADE,QADCP,VADCP,310,8.778139601,72.2,22.00548613,169,15.70048309,1.83,0.557756781,FIRM,CBLS,UNEV,unkn,UNEV,NSTD,DNST,300
530,12/1/2014 11:47,CST,Yes,rga,USGS,150,4.24752,1.25,0.380981408,,,Good,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,150,4.247486904,72.1,21.97500762,145,13.47082869,1.04,0.316976532,FIRM,GRVL,UNEV,unkn,EVEN,UNSP,DNST,150
529,10/6/2014 13:40,CDT,Yes,lb,USGS,76.8,2.17473024,0.8,0.243828101,0,1,Fair,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,76.8,2.174713295,75.5,23.01127705,118,10.96246748,0.65,0.198110332,FIRM,GRVL,EVEN,unkn,EVEN,UNFM,DNST,300
528,7/28/2014 10:28,CDT,Yes,MR,USGS,109,3.0865312,1.03,0.31392868,0,,Fair,DebrisLight,NONE,1,Main,WADE,QSCMM,VADV,109,3.08650715,96,29.25937214,107,9.940542549,1.02,0.310880829,FIRM,GRVL,EVEN,unkn,EVEN,UNFM,UPST,50
527,6/2/2014 12:04,CDT,Yes,rga,USGS,335,9.486128,1.71,0.521182566,,,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,335,9.486054085,77.8,23.71228284,177,16.44370123,1.89,0.576043889,FIRM,GRVL,UNEV,unkn,EVEN,UNSP,DNST,250
526,4/1/2014 16:45,CDT,Yes,mss,USGS,554,15.6875072,2.27,0.691862237,,,Fair,Clear,NONE,1,Main,WADE,QADCP,VADCP,554,15.68738496,97.4,29.68607132,195,18.11594203,2.85,0.86863761,FIRM,GRVL,EVEN,unkn,EVEN,UNKN,UPST,100
525,2/3/2014 15:09,CST,Yes,MR/MS,USGS,375,10.6188,1.93,0.588235294,0,,Fair,Clear,NONE,1,Main,WADE,QADCP,VADCP,375,10.61871726,101,30.78329778,172,15.97918989,2.18,0.664431576,FIRM,GRVL,EVEN,unkn,EVEN,STND,UPST,50
524,12/2/2013 11:15,CST,Yes,rga,USGS,314,8.8914752,1.83,0.557756781,,,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,314,8.891405918,79,24.07802499,191,17.74433296,1.64,0.499847607,FIRM,GRVL,UNEV,unkn,UNSP,UNSP,DNST,200
523,10/21/2013 12:10,CDT,Yes,lb,USGS,180,5.097024,1.36,0.414507772,0,0.5,Fair,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,180,5.096984284,78.3,23.8646754,157,14.58565589,1.15,0.350502895,FIRM,GRVL,EVEN,unkn,EVEN,UNKN,DNST,250
522,8/19/2013 12:04,CDT,Yes,lb/ra,USGS,1200,33.98016,3.49,1.063700091,-0.01,0.5,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,1200,33.97989523,162,49.37519049,594,55.18394649,2.01,0.612618104,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
521,6/3/2013 12:28,CDT,Yes,rga,USGS,11700,331.30656,14.23,4.33709235,,,Poor,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,11700,331.3039785,341,103.9317281,3050,283.3519138,3.84,1.170374886,FIRM,GRVL,EVEN,unkn,UNEV,UNSP,ATGA,
520,4/1/2013 16:04,CDT,Yes,LDB,USGS,2770,78.437536,5.36,1.633648278,-0.02,0.5,Fair,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,2770,78.43692482,210,64.00487656,1010,93.83128948,2.75,0.838159098,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
519,2/4/2013 13:54,CST,Yes,MR,USGS,1250,35.396,3.47,1.057604389,0,,Good,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,1250,35.3957242,162,49.37519049,611,56.76328502,2.05,0.624809509,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
518,12/3/2012 11:31,CST,Yes,BB,USGS,140,3.964352,1.15,0.350502895,,,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,140,3.96432111,75.8,23.10271259,123,11.42697882,1.14,0.347455044,FIRM,BLDR,UNEV,unkn,EVEN,UNKN,DNST,200
517,10/1/2012 13:44,CDT,Yes,LDB,USGS,111,3.1431648,1.03,0.31392868,0,0.5,Fair,DebrisLight,NONE,1,main,WADE,QADCP,VADCP,111,3.143140309,74.9,22.82840597,121,11.24117428,0.92,0.280402316,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,DNST,200
516,8/6/2012 15:12,CDT,Yes,ESS,USGS,58.5,1.6565328,0.73,0.222493142,0,0.1,Fair,Clear,NONE,1,Main,WADE,QADCP,VADCP,58.5,1.656519892,67.8,20.66443158,93.4,8.677071721,0.63,0.19201463,FIRM,CBLS,UNEV,unkn,EVEN,STND,DNST,200
515,6/4/2012 13:15,CDT,Yes,BB,USGS,196,5.5500928,1.24,0.377933557,,,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,196,5.550049554,77.5,23.6208473,159,14.77146042,1.23,0.374885706,FIRM,BLDR,UNEV,unkn,EVEN,STND,DNST,200
