Meas_number,date_time,time_datum,measurment_used,who,measuring_agency,stream_flow_cfs,gage_height_ft,gh_change_ft,meas_duration_hr,meas_rating,control,flow_adjust_code,channel_number,channel_name,meas_type,stream_flow_method,velocity_method,channel_flow_cfs,channel_flow_m3s,channel_width_ft,channel_width_m,channel_area_sqft,channel_area_m2,channel_vel_fts,channel_vel_ms,channel_stability,channel_material,channel_evenness,long_vel_desc,horz_vel_desc,vert_vel_desc,channel_loc_code,channel_loc_dist_ft
729,3/15/2021 10:53,CDT,Yes,"MT,RA",Unspe,39400,19.33,,,Poor,,NONE,1,main,BRDS,QADCP,VADCP,39400,1115.673227,605,184.3950015,10600,984.7640282,3.72,1.133800671,UNSP,UNSP,UNSP,UNSP,UNEV,UNSP,ATGA,0
728,1/26/2021 9:25,CST,Yes,CR,USGS,11700,9.19,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,11700,331.3039785,352,107.2843645,5070,471.0144928,2.31,0.704053642,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
727,12/3/2020 8:27,CST,Yes,CR,USGS,2730,4.29,,,Poor,Clear,NONE,1,Main,BRDS,QADCP,VADCP,2730,77.30426165,336,102.4078025,3560,330.7320699,0.77,0.234684547,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
726,10/8/2020 11:03,CDT,Yes,CR,USGS,768,2.49,,,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,768,21.74713295,331,100.8838769,3080,286.1389818,0.25,0.076196282,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
725,8/27/2020 9:28,CDT,Yes,CR,USGS,916,2.68,,,Good,Clear,NONE,1,Main,BRDS,QADCP,VADCP,916,25.93798669,331,100.8838769,3150,292.6421405,0.29,0.088387687,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
724,7/30/2020 18:01,CDT,Yes,CR,USGS,2200,3.9,,,Poor,VegetationLight,NONE,1,Main,BRDS,QADCP,VADCP,2200,62.29647459,328,99.96952149,3400,315.8677072,0.65,0.198110332,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
723,5/18/2020 14:41,CDT,Yes,MJT,USGS,29800,16.35,,,Poor,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,29800,843.8340648,576,175.5562329,8930,829.6172427,3.34,1.017982322,UNSP,UNSP,UNEV,PULS,UNEV,NSTD,ATGA,0
722,5/7/2020 11:28,CDT,Yes,CR,USGS,20400,12.74,,,Poor,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,20400,577.6582189,366,111.5513563,6530,606.6518023,3.12,0.950929595,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
721,2/3/2020 12:37,CST,Yes,CR,USGS,3970,5.18,,,Good,Clear,NONE,1,Main,BRDS,QADCP,VADCP,3970,112.41682,356,108.503505,4200,390.1895206,0.95,0.28954587,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,ATGA,0
720,12/2/2019 10:26,CST,Yes,lb,USGS,9260,8.19,0.02,0.5,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,9260,262.2115248,385,117.3422737,5290,491.4529915,1.75,0.533373971,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
719,10/9/2019 8:13,CDT,Yes,RGA,USGS,767,2.85,0,,Fair,Clear,NONE,2,left side channel at island,WADE,QADCP,VADCP,71.5,2.024635424,32,9.753124048,32.9,3.056484578,2.18,0.664431576,FIRM,GRVL,EVEN,STDY,EVEN,STND,DNST,600
719,10/9/2019 8:13,CDT,Yes,RGA,USGS,767,2.85,0,,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,695,19.68002265,180,54.86132277,374,34.74544779,1.86,0.566900335,FIRM,GRVL,EVEN,STDY,EVEN,STND,DNST,600
718,8/5/2019 11:44,CDT,Yes,"MT,LB",USGS,1270,3.36,,,Poor,Clear,NONE,2,left,WADE,QADCP,VADCP,120,3.397989523,36.6,11.15513563,50.8,4.719435154,2.36,0.719292899,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,UNSP,
718,8/5/2019 11:44,CDT,Yes,"MT,LB",USGS,1270,3.36,,,Poor,Clear,NONE,1,main,WADE,QADCP,VADCP,1150,32.56406626,211,64.30966169,558,51.83946488,2.06,0.627857361,SOFT,GRVL,UNEV,UNSP,EVEN,UNSP,UNSP,1000
717,6/5/2019 7:56,CDT,Yes,rga,USGS,3020,4.73,0.02,0.75,Fair,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,3020,85.51606966,341,103.9317281,4210,391.1185433,0.72,0.219445291,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
716,3/25/2019 8:57,CDT,Yes,lb,USGS,3940,5.44,0.02,0.5,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,3940,111.5673227,337,102.7125876,4400,408.769974,0.9,0.274306614,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
715,2/6/2019 12:34,CST,Yes,rga,USGS,2310,4.6,0.01,0.3,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,2310,65.41129832,333,101.4934471,4440,412.4860647,0.52,0.158488266,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
714,12/4/2018 16:07,CST,Yes,lb,USGS,7720,7.62,0.01,0.5,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,7720,218.6039926,400,121.9140506,5590,519.3236715,1.38,0.420603475,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
713,10/3/2018 8:53,CDT,Yes,rga,USGS,728,3.05,0,,Fair,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,728,20.61446977,339,103.3221579,4060,377.1832033,0.18,0.054861323,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
712,8/6/2018 10:59,CDT,Yes,lb,USGS,571,2.93,0,1,Poor,Clear,NONE,1,main,WADE,QADCP,VADCP,571,16.16876681,274,83.51112466,457,42.45633593,1.25,0.380981408,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,DNST,800
711,5/30/2018 14:59,CDT,Yes,rga,USGS,2400,4.46,0,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,2400,67.95979046,339,103.3221579,4490,417.131178,0.53,0.161536117,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
710,4/4/2018 11:25,CDT,Yes,lb,USGS,8440,7.94,-0.05,0.5,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,8440,238.9919298,364,110.941786,5560,516.5366035,1.52,0.463273392,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
709,3/30/2018 9:05,CDT,Yes,BCR,USGS,32700,17.54,0,0.25,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,32700,925.952145,507,154.5260591,9390,872.3522854,3.48,1.06065224,FIRM,GRVL,EVEN,STDY,EVEN,STND,ATGA,0
708,2/27/2018 13:08,CST,Yes,AK/BR,USGS,46500,21.71,0.01,0.5,Poor,Unspecifed,NONE,2,Right channel,BRDS,QADCP,VADCP,15600,441.738638,239,72.84364523,3420,317.7257525,4.58,1.395915879,FIRM,GRVL,EVEN,PULS,UNEV,STND,ATGA,0
708,2/27/2018 13:08,CST,Yes,AK/BR,USGS,46500,21.71,0.01,0.5,Poor,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,30900,874.9823021,465,141.7250838,9670,898.3649201,3.19,0.972264553,FIRM,GRVL,EVEN,PULS,UNEV,STND,ATGA,0
707,2/23/2018 9:04,CST,Yes,lb,USGS,9180,8.34,-0.02,0.5,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,9180,259.9461985,380,115.8183481,5540,514.6785582,1.66,0.50594331,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
706,1/29/2018 10:16,CST,Yes,RGA,USGS,937,3.65,,,Poor,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,937,26.53263486,388,118.2566291,4680,434.7826087,0.2,0.060957025,FIRM,GRVL,EVEN,STDY,UNEV,NSTD,ATGA,0
705,12/4/2017 10:08,CST,Yes,lb,USGS,557,3.32,0,0.5,Poor,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,557,15.7723347,407,124.0475465,4370,405.982906,0.13,0.039622066,FIRM,GRVL,UNEV,UNSP,UNEV,NSTD,ATGA,0
704,10/2/2017 9:19,CDT,Yes,rga,USGS,605,3.35,0.01,0.25,Fair,Clear,NONE,1,main,WADE,QADCP,VADCP,605,17.13153051,162,49.37519049,367,34.09513192,1.65,0.502895459,FIRM,GRVL,EVEN,STDY,EVEN,UNSP,DNST,800
703,7/31/2017 12:22,CDT,Yes,lb,USGS,749,3.51,0,0.5,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,749,21.20911794,376,114.5992076,4320,401.3377926,0.17,0.051813472,FIRM,GRVL,UNEV,STDY,UNEV,UNFM,ATGA,0
702,5/30/2017 9:09,CDT,Yes,rga,USGS,5760,7,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,5760,163.1034971,376,114.5992076,5360,497.9561501,1.07,0.326120085,FIRM,GRVL,EVEN,STDY,EVEN,UNSP,ATGA,0
701,5/3/2017 10:12,CDT,Yes,"BB,LB",USGS,112000,30.73,,,Poor,DebrisLight,NONE,1,main,BRDS,QADCP,VADCP,112000,3171.456888,777,236.8180433,20400,1895.206243,5.49,1.673270344,FIRM,GRVL,EVEN,PULS,UNEV,NSTD,ATGA,0
700,5/2/2017 9:10,CDT,Yes,"BB,LB",USGS,193000,37.47,,,Poor,DebrisModerate,NONE,1,main,MBOT,QADCP,VADCP,193000,5465.099816,1950,594.3309966,43100,4004.0877,4.47,1.362389515,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,DNST,2000
699,5/1/2017 17:05,CDT,Yes,"BB,LB",USGS,149000,34.57,,,Poor,DebrisModerate,NONE,1,main,BRDS,QADCP,VADCP,149000,4219.170324,780,237.7323987,21400,1988.10851,6.97,2.124352332,FIRM,GRVL,UNEV,PULS,UNEV,NSTD,ATGA,0
698,4/3/2017 11:49,CDT,Yes,lb,USGS,5700,6.56,-0.01,0.5,Poor,Clear,NONE,1,main,BRDS,QADCP,VADCP,5700,161.4045023,388,118.2566291,4110,381.8283166,1.39,0.423651326,FIRM,GRVL,UNEV,unkn,EVEN,NSTD,ATGA,0
697,2/6/2017 9:27,CST,Yes,RGA,USGS,1340,3.63,0,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,1340,37.94421634,343,104.5412984,2950,274.0616871,0.45,0.137153307,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
696,12/5/2016 11:30,CST,Yes,ESS,USGS,729,3.13,0,0.3,Poor,Clear,NONE,1,Main,BRDS,QADCP,VADCP,729,20.64278635,349,106.3700091,2740,254.5522111,0.27,0.082291984,FIRM,GRVL,EVEN,unkn,EVEN,NSTD,ATGA,
695,10/3/2016 10:21,CDT,Yes,BB,USGS,1050,3.44,,,Good,Clear,NONE,1,main,BRDS,QADCP,VADCP,1050,29.73240833,334,101.7982322,2740,254.5522111,0.38,0.115818348,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
694,8/1/2016 13:26,CDT,Yes,CR,USGS,3140,5.27,,,Fair,Clear,NONE,1,1,BRDS,QADCP,VADCP,3140,88.91405918,352,107.2843645,3430,318.6547752,0.92,0.280402316,UNSP,UNSP,UNSP,unkn,UNSP,UNSP,ATGA,
693,5/31/2016 12:33,CDT,Yes,BB,USGS,5220,6.52,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,5220,147.8125442,351,106.9795794,4040,375.3251579,1.29,0.393172813,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
692,4/4/2016 10:07,CDT,Yes,ESS,USGS,2470,4.66,0,0.2,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,2470,69.94195101,361,110.0274307,3450,320.5128205,0.72,0.219445291,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
691,2/4/2016 12:01,CST,Yes,ESS,USGS,1730,4.26,0,0.3,Fair,Clear,NONE,1,Main Check Qm,BRDS,QADCP,VADCP,1730,48.98768229,365,111.2465712,3250,301.9323671,0.53,0.161536117,FIRM,GRVL,EVEN,unkn,EVEN,NSTD,ATGA,
690,2/4/2016 11:14,CST,Yes,ESS,USGS,1720,4.26,0,25,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1720,48.70451649,360,109.7226455,3290,305.6484578,0.52,0.158488266,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
689,12/30/2015 11:04,CST,Yes,"ESS,BB",USGS,145000,34.39,0,0.2,Fair,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,145000,4105.904007,780,237.7323987,20400,1895.206243,7.1,2.163974398,FIRM,GRVL,EVEN,unkn,EVEN,NSTD,ATGA,
688,12/29/2015 10:04,CST,Yes,lb,USGS,115000,31.2,0.08,0.5,Poor,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,115000,3256.406626,745,227.0649192,17200,1597.918989,6.68,2.035964645,SOFT,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
687,11/30/2015 16:44,CST,Yes,BB,USGS,15700,11.35,,,Good,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,15700,444.5702959,345,105.1508686,4480,416.2021553,3.51,1.069795794,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
686,10/5/2015 11:09,CDT,Yes,MSS,USGS,689,2.12,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,689,19.51012318,327,99.66473636,1710,158.8628763,0.4,0.121914051,FIRM,GRVL,UNEV,unkn,UNEV,UNKN,ATGA,
685,9/30/2015 16:53,CDT,Yes,bcr/ckl,USGS,736,2.2,,,Fair,Clear,NONE,1,Main,RC,QADCP,VADCP,736,20.84100241,320,97.53124048,1530,142.1404682,0.48,0.146296861,FIRM,GRVL,EVEN,unkn,EVEN,STND,DNST,150
684,9/30/2015 16:26,CDT,Yes,bcr/ckl,USGS,727,2.2,,,Fair,Clear,NONE,1,Main,RC,QADCP,VADCP,727,20.58615319,328,99.96952149,1510,140.2824229,0.48,0.146296861,FIRM,GRVL,EVEN,unkn,EVEN,STND,DNST,150
683,7/27/2015 12:12,CDT,Yes,rmf/bb,USGS,3280,4.69,,,Good,Clear,NONE,1,main,BRDS,QADCP,VADCP,3280,92.87838029,356,108.503505,2670,248.0490524,1.23,0.374885706,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
682,6/23/2015 10:51,CDT,Yes,bcr,USGS,47600,22.3,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,47600,1347.869177,638,194.4529107,11100,1031.215162,4.29,1.307528193,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
681,6/23/2015 10:10,CDT,Yes,bcr,USGS,48100,22.46,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,48100,1362.027467,645,196.5864066,11300,1049.795615,4.26,1.298384639,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
680,6/22/2015 8:57,CDT,Yes,BB,USGS,35100,18.96,0.13,0.5,Poor,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,35100,993.9119354,512,156.0499848,8460,785.9531773,4.15,1.264858275,FIRM,GRVL,EVEN,unkn,UNEV,NSTD,ATGA,
679,6/19/2015 11:07,CDT,Yes,BB,USGS,14100,10.9,0.14,0.5,Poor,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,14100,399.2637689,375,114.2944224,4740,440.3567447,2.99,0.911307528,FIRM,GRVL,EVEN,unkn,UNEV,NSTD,ATGA,
678,6/1/2015 11:35,CDT,Yes,ESS,USGS,15800,11.35,0,0.2,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,15800,447.4019538,404,123.1331911,5060,470.0854701,3.12,0.950929595,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
677,3/30/2015 13:17,CDT,Yes,MSS,USGS,7830,7.47,0.05,0.8,Good,Unspecifed,NONE,1,main,BRDS,QADCP,VADCP,7830,221.7188164,361,110.0274307,3460,321.4418432,2.27,0.691862237,FIRM,GRVL,UNEV,unkn,UNEV,UNKN,ATGA,
676,2/2/2015 12:14,CST,Yes,BB,USGS,1340,3.26,,,Fair,Clear,NONE,1,main,BRDS,QADCP,VADCP,1340,37.94421634,332,101.188662,2170,201.597919,0.62,0.188966778,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
675,12/5/2014 10:46,CST,Yes,ESS,USGS,744,2.79,0.09,0.2,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,744,21.06753504,355,108.1987199,2080,193.236715,0.36,0.109722646,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
674,10/6/2014 12:52,CDT,Yes,BB,USGS,548,2.13,,,Good,Clear,NONE,1,main,WADE,QADCP,VADCP,548,15.51748549,189,57.60438891,275,25.54812337,1.99,0.606522402,FIRM,GRVL,EVEN,unkn,UNEV,STND,DNST,750
673,7/28/2014 11:42,CDT,Yes,ESS,USGS,651,2.31,0,0.3,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,651,18.43409316,334,101.7982322,1900,176.5143069,0.34,0.103626943,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
672,6/2/2014 12:43,CDT,Yes,BB,USGS,1410,3.3,,,Good,Clear,NONE,1,main,BRDS,QADCP,VADCP,1410,39.92637689,340,103.626943,2200,204.384987,0.64,0.195062481,FIRM,GRVL,EVEN,unkn,EVEN,UNKN,ATGA,
671,3/31/2014 11:23,CDT,Yes,ESS,USGS,1730,3.57,0,0.2,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1730,48.98768229,354,107.8939348,2310,214.6042363,0.75,0.228588845,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
670,2/3/2014 13:49,CST,Yes,ESS,USGS,1240,3.13,0,0.3,Fair,Clear,NONE,1,Main,BRDS,QADCP,VADCP,1240,35.1125584,346,105.4556538,2180,202.5269417,0.57,0.173727522,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
669,12/2/2013 11:13,CST,Yes,BB,USGS,1080,3.06,,,Good,Clear,NONE,1,main,BRDS,QADCP,VADCP,1080,30.58190571,333,101.4934471,2180,202.5269417,0.5,0.152392563,FIRM,GRVL,EVEN,unkn,EVEN,UNKN,ATGA,
668,10/21/2013 12:34,CDT,Yes,ESS,USGS,812,2.65,0,0.3,Good,Clear,NONE,1,Main,BRDS,QADCP,VADCP,812,22.99306244,342,104.2365133,2060,191.3786696,0.39,0.118866199,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
667,8/15/2013 14:06,CDT,Yes,ESS/MS,USGS,7860,7.6,,,Fair,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,7860,222.5683137,372,113.3800671,3710,344.6674099,2.12,0.646144468,FIRM,GRVL,EVEN,unkn,EVEN,STND,ATGA,
666,8/14/2013 11:04,CDT,Yes,"tk,bp",USGS,10900,9.16,-0.03,0.3,Good,,NONE,1,main,BRDS,QADCP,VADCP,10900,308.650715,365,111.2465712,4270,396.6926793,2.55,0.777202073,FIRM,GRVL,UNEV,unkn,UNEV,STND,ATGA,
665,8/14/2013 9:57,CDT,Yes,"tk,bp",USGS,10900,9.28,0,0.5,Good,,NONE,1,main,BRDS,QADCP,VADCP,10900,308.650715,361,110.0274307,4320,401.3377926,2.52,0.768058519,FIRM,GRVL,UNEV,unkn,UNEV,STND,ATGA,
664,8/13/2013 12:08,CDT,Yes,RRH,USGS,27100,16.96,-0.05,0.5,Good,Unspecifed,NONE,1,Main,BRDS,QADCP,VADCP,27100,767.3793006,527,160.6217617,7940,737.6439985,3.41,1.039317281,FIRM,GRVL,UNEV,unkn,UNEV,STND,ATGA,
663,8/12/2013 10:19,CDT,Yes,tk,USGS,43000,21.57,-0.02,0.3,Good,,NONE,1,main,BRDS,QADCP,VADCP,43000,1217.612912,673,205.1203901,11300,1049.795615,3.82,1.164279183,FIRM,GRVL,UNEV,unkn,UNEV,STND,ATGA,
662,8/12/2013 9:56,CDT,Yes,tk,USGS,44700,21.61,-0.02,0.3,Good,,NONE,1,main,BRDS,QADCP,VADCP,44700,1265.751097,663,202.0725389,11300,1049.795615,3.95,1.20390125,FIRM,GRVL,UNEV,unkn,UNEV,STND,ATGA,
661,8/10/2013 10:21,CDT,Yes,"tk,rh",USGS,83200,28.52,-0.02,0.3,Fair,,NONE,1,main,BRDS,QADCP,VADCP,83200,2355.939403,750,228.5888449,15500,1439.985136,5.36,1.633648278,FIRM,GRVL,UNEV,unkn,UNEV,STND,ATGA,
660,8/10/2013 9:54,CDT,Yes,"tk,rh",USGS,86000,28.56,-0.02,0.3,Good,,NONE,1,main,BRDS,QADCP,VADCP,86000,2435.225825,745,227.0649192,15700,1458.565589,5.47,1.667174642,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
659,8/9/2013 14:15,CDT,Yes,"tk,js",USGS,100000,31.43,-0.04,0.3,Good,DebrisModerate,NONE,1,main,BRDS,QADCP,VADCP,100000,2831.657936,701,213.6543737,16800,1560.758082,5.95,1.813471503,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
658,8/9/2013 13:29,CDT,Yes,"tk,js",USGS,104000,31.58,-0.08,0.5,Good,DebrisModerate,NONE,1,main,BRDS,QADCP,VADCP,104000,2944.924253,736,224.3218531,17400,1616.499443,5.97,1.819567205,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,ATGA,
657,8/9/2013 12:04,CDT,Yes,"tk,js",USGS,104000,31.86,-0.03,0.3,Good,DebrisModerate,NONE,1,Main,BRDS,QADCP,VADCP,104000,2944.924253,728,221.8835721,17500,1625.789669,5.94,1.810423651,FIRM,GRVL,UNEV,unkn,UNEV,NSTD,DNST,0
656,8/8/2013 12:25,CDT,Yes,BCR/CSB,USGS,132000,34.1,,,Poor,Unspecifed,NONE,1,Main,MBOT,QADCP,VADCP,132000,3737.788475,844,257.2386468,20500,1904.49647,6.44,1.962816215,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
655,8/8/2013 10:08,CDT,Yes,BCR/CSB,USGS,127000,33.75,,,Poor,,NONE,1,Main,MBOT,QADCP,VADCP,127000,3596.205578,822,250.533374,19800,1839.464883,6.43,1.959768363,FIRM,GRVL,EVEN,unkn,UNEV,STND,ATGA,
